job_title,skills
admin big data,"aws, azure, big data architecture, cloud computing, data governance, data lakes, data modeling, data warehousing, etl, hadoop, mapreduce, nosql, security, spark"
ansible operations engineer,"ansible, automation, aws, ci/cd, cloud platforms, docker, infrastructure as code, kubernetes, linux, networking, python, scripting, terraform"
artifactory administrator,"artifactory, build automation, ci/cd, cloud computing, docker, git, gradle, jenkins, jfrog cli, linux, maven, version control"
artificial intelligence / machine learning leader,"ai strategy, budgeting, cloud computing, data science, deep learning, machine learning, project management, stakeholder management"
artificial intelligence / machine learning sr.leader,"ai strategy, budgeting, cloud computing, data science, deep learning, innovation, machine learning, mentoring, project management, stakeholder management"
artificial intelligence architect,"ai architecture, aws, azure, cloud computing, data science, deep learning, machine learning, model deployment, scalability, security, system design"
artificial intelligence researcher,"algorithm design, data analysis, deep learning, machine learning, python, pytorch, research methods, scientific writing, statistical analysis, tensorflow"
big data architect,"aws, azure, cloud computing, data governance, data lakes, data modeling, data warehousing, etl, hadoop, kafka, mapreduce, nosql, security, spark"
big data engineer,"cloud computing, data pipelines, data warehousing, etl, hadoop, java, kafka, nosql, python, scala, spark, sql"
big data specialist,"cloud computing, data analysis, data mining, data modeling, data visualization, etl, hadoop, nosql, spark, sql, statistical analysis"
build and release engineer,"automation, build tools, ci/cd, docker, git, gradle, jenkins, kubernetes, linux, maven, scripting"
build engineer,"ant, build automation, ci/cd, git, gradle, jenkins, linux, maven, scripting, version control"
chef operations engineer,"automation, aws, azure, chef, cloud computing, configuration management, infrastructure as code, linux, ruby"
data analysts,"data cleansing, data mining, data modeling, data visualization, etl, excel, power bi, python, r, sql, statistics, tableau"
data architect,"aws, azure, cloud computing, data governance, data integration, data modeling, data security, data warehousing, etl, nosql, sql"
devops architect,"ansible, automation, aws, azure, ci/cd, cloud computing, docker, google cloud, kubernetes, networking, security, terraform"
devops engineer,"ansible, automation, aws, azure, ci/cd, cloud computing, docker, git, jenkins, kubernetes, linux, networking, python, scripting, terraform"
elk engineer,"aws, azure, data visualization, elasticsearch, kibana, linux, log management, logstash, networking, security"
